"mesh","umls"
"acyclovir","Nucleic Acid, Nucleoside, or Nucleotide"
"acyclovir","Pharmacologic Substance"
"acyltransferases","Amino Acid, Peptide, or Protein"
"acyltransferases","Enzyme"
"adalimumab","Amino Acid, Peptide, or Protein"
"adalimumab","Immunologic Factor"
"adalimumab","Pharmacologic Substance"
"adam proteins","Amino Acid, Peptide, or Protein"
"adam proteins","Enzyme"
"adam17 protein","Amino Acid, Peptide, or Protein"
"adam17 protein","Enzyme"
"adaptation, physiological","Organism Function"
"adaptation, psychological","Individual Behavior"
"adaptive immunity","Physiologic Function"
"adaptor proteins, signal transducing","Amino Acid, Peptide, or Protein"
"adaptor proteins, signal transducing","Biologically Active Substance"
"addison disease","Disease or Syndrome"
"adenine","Biologically Active Substance"
"adenine","Nucleic Acid, Nucleoside, or Nucleotide"
"adenocarcinoma","Neoplastic Process"
"adenocarcinoma, bronchiolo-alveolar","Neoplastic Process"
"adenocarcinoma, follicular","Neoplastic Process"
"adenocarcinoma, papillary","Neoplastic Process"
"adenoma","Neoplastic Process"
"adenoma, pleomorphic","Neoplastic Process"
"adenosine","Biologically Active Substance"
"adenosine","Nucleic Acid, Nucleoside, or Nucleotide"
"adenosine","Pharmacologic Substance"
"adenosine a1 receptor agonists","Pharmacologic Substance"
"adenosine a2 receptor antagonists","Pharmacologic Substance"
"adenosine deaminase","Amino Acid, Peptide, or Protein"
"adenosine deaminase","Enzyme"
"adenosine diphosphate","Biologically Active Substance"
"adenosine diphosphate","Nucleic Acid, Nucleoside, or Nucleotide"
"adenosine monophosphate","Biologically Active Substance"
"adenosine monophosphate","Nucleic Acid, Nucleoside, or Nucleotide"
"adenosine monophosphate","Pharmacologic Substance"
"adenosine triphosphate","Biologically Active Substance"
"adenosine triphosphate","Nucleic Acid, Nucleoside, or Nucleotide"
"adenosine triphosphate","Pharmacologic Substance"
"adenosine-5'-(n-ethylcarboxamide)","Nucleic Acid, Nucleoside, or Nucleotide"
"adenosine-5'-(n-ethylcarboxamide)","Pharmacologic Substance"
"adenoviridae","Virus"
"adenoviridae infections","Disease or Syndrome"
"adenovirus infections, human","Disease or Syndrome"
"adenoviruses, human","Virus"
"adenylyl cyclases","Amino Acid, Peptide, or Protein"
"adenylyl cyclases","Enzyme"
"adhesins, bacterial","Amino Acid, Peptide, or Protein"
"adhesins, bacterial","Immunologic Factor"
"adhesiveness","Natural Phenomenon or Process"
"adhesives","Manufactured Object"
"adipates","Indicator, Reagent, or Diagnostic Aid"
"adipates","Organic Chemical"
"adipokines","Amino Acid, Peptide, or Protein"
"adipokines","Biologically Active Substance"
"adiponectin","Amino Acid, Peptide, or Protein"
"adiponectin","Biologically Active Substance"
"adipose tissue","Tissue"
"adiposis dolorosa","Disease or Syndrome"
"adiposity","Disease or Syndrome"
"adjustment disorders","Mental or Behavioral Dysfunction"
"adjuvants, anesthesia","Pharmacologic Substance"
"adjuvants, immunologic","Immunologic Factor"
"adjuvants, immunologic","Pharmacologic Substance"
"administration, cutaneous","Therapeutic or Preventive Procedure"
"administration, inhalation","Therapeutic or Preventive Procedure"
"administration, intranasal","Therapeutic or Preventive Procedure"
"administration, intravaginal","Therapeutic or Preventive Procedure"
"administration, oral","Therapeutic or Preventive Procedure"
"administration, sublingual","Functional Concept"
"administration, topical","Therapeutic or Preventive Procedure"
"adoption","Social Behavior"
"adp-ribosyl cyclase","Amino Acid, Peptide, or Protein"
"adp-ribosyl cyclase","Enzyme"
"adp-ribosylation factors","Amino Acid, Peptide, or Protein"
"adp-ribosylation factors","Enzyme"
"adrenal cortex","Body Part, Organ, or Organ Component"
"adrenal cortex function tests","Diagnostic Procedure"
"adrenal cortex hormones","Hormone"
"adrenal cortex hormones","Organic Chemical"
"adrenal cortex hormones","Pharmacologic Substance"
"adrenal gland diseases","Disease or Syndrome"
"adrenal gland neoplasms","Neoplastic Process"
"adrenal glands","Body Part, Organ, or Organ Component"
"adrenal hyperplasia, congenital","Disease or Syndrome"
"adrenal insufficiency","Disease or Syndrome"
"adrenal medulla","Body Part, Organ, or Organ Component"
"adrenalectomy","Therapeutic or Preventive Procedure"
"adrenergic agents","Pharmacologic Substance"
"adrenergic agonists","Pharmacologic Substance"
"adrenergic alpha-2 receptor agonists","Pharmacologic Substance"
"adrenergic alpha-agonists","Pharmacologic Substance"
"adrenergic alpha-antagonists","Pharmacologic Substance"
"adrenergic beta-1 receptor antagonists","Pharmacologic Substance"
"adrenergic beta-2 receptor agonists","Pharmacologic Substance"
"adrenergic beta-2 receptor antagonists","Pharmacologic Substance"
"adrenergic beta-agonists","Pharmacologic Substance"
"adrenergic beta-antagonists","Pharmacologic Substance"
"adrenergic fibers","Tissue"
"adrenergic uptake inhibitors","Pharmacologic Substance"
"adrenocortical hyperfunction","Disease or Syndrome"
"adrenocorticotropic hormone","Amino Acid, Peptide, or Protein"
"adrenocorticotropic hormone","Hormone"
"adrenocorticotropic hormone","Pharmacologic Substance"
"adrenomedullin","Amino Acid, Peptide, or Protein"
"adrenomedullin","Pharmacologic Substance"
"adsorption","Laboratory Procedure"
"adult","Age Group"
"advance directives","Intellectual Product"
"advanced glycosylation end product-specific receptor","Amino Acid, Peptide, or Protein"
"advanced glycosylation end product-specific receptor","Receptor"
"adverse drug reaction reporting systems","Intellectual Product"
"advertising as topic","Occupational Activity"
"aerobiosis","Organism Function"
"aeromonas","Bacterium"
"aerosol propellants","Chemical Viewed Functionally"
"aerosols","Manufactured Object"
"aerospace medicine","Biomedical Occupation or Discipline"
"affect","Mental Process"
"affective symptoms","Sign or Symptom"
"afferent pathways","Body Part, Organ, or Organ Component"
"afghan campaign 2001-","Idea or Concept"
"africa","Geographic Area"
"africa, central","Geographic Area"
"africa, northern","Geographic Area"
"africa, western","Geographic Area"
"african americans","Population Group"
"african continental ancestry group","Population Group"
"aftercare","Health Care Activity"
"agammaglobulinemia","Disease or Syndrome"
"agaricales","Fungus"
"agaricus","Fungus"
"age distribution","Quantitative Concept"
"age factors","Temporal Concept"
"age of onset","Quantitative Concept"
"aged","Organism Attribute"
"aged, 80 and over","Age Group"
"agglutination tests","Laboratory Procedure"
"aggression","Individual Behavior"
"aging","Organism Function"
"agoraphobia","Mental or Behavioral Dysfunction"
"agranulocytosis","Disease or Syndrome"
"agricultural workers' diseases","Disease or Syndrome"
"agriculture","Occupation or Discipline"
"agrochemicals","Chemical Viewed Functionally"
"aids-related complex","Disease or Syndrome"
"aids-related opportunistic infections","Disease or Syndrome"
"air","Substance"
"air ambulances","Manufactured Object"
"air bags","Manufactured Object"
"air conditioning","Human-caused Phenomenon or Process"
"air ionization","Natural Phenomenon or Process"
"air microbiology","Phenomenon or Process"
"air movements","Natural Phenomenon or Process"
"air pollutants","Hazardous or Poisonous Substance"
"air pollutants, occupational","Hazardous or Poisonous Substance"
"air pollution","Environmental Effect of Humans"
"air pollution, indoor","Environmental Effect of Humans"
"air pressure","Natural Phenomenon or Process"
"aircraft","Manufactured Object"
"airway extubation","Therapeutic or Preventive Procedure"
"airway management","Therapeutic or Preventive Procedure"
"airway obstruction","Disease or Syndrome"
"airway remodeling","Finding"
"airway resistance","Diagnostic Procedure"
"akathisia, drug-induced","Disease or Syndrome"
"alabama","Geographic Area"
"alanine","Amino Acid, Peptide, or Protein"
"alanine","Biologically Active Substance"
"alanine transaminase","Amino Acid, Peptide, or Protein"
"alanine transaminase","Enzyme"
"alaska","Geographic Area"
"albania","Geographic Area"
"albendazole","Organic Chemical"
"albendazole","Pharmacologic Substance"
"alberta","Geographic Area"
"albizzia","Plant"
"albumins","Amino Acid, Peptide, or Protein"
"albumins","Biologically Active Substance"
"albuminuria","Finding"
"albuterol","Organic Chemical"
"albuterol","Pharmacologic Substance"
"albuterol, ipratropium drug combination","Pharmacologic Substance"
"alcaligenes","Bacterium"
"alcohol amnestic disorder","Mental or Behavioral Dysfunction"
"alcohol drinking","Individual Behavior"
"alcoholic beverages","Food"
"alcoholic intoxication","Mental or Behavioral Dysfunction"
"alcoholics","Patient or Disabled Group"
"alcoholism","Mental or Behavioral Dysfunction"
"alcohols","Organic Chemical"
"alcohols","Pharmacologic Substance"
"alcuronium","Organic Chemical"
"alcuronium","Pharmacologic Substance"
"aldehyde dehydrogenase","Amino Acid, Peptide, or Protein"
"aldehyde dehydrogenase","Enzyme"
"aldehyde dehydrogenase, mitochondrial","Amino Acid, Peptide, or Protein"
"aldehyde dehydrogenase, mitochondrial","Enzyme"
"aldehyde oxidoreductases","Amino Acid, Peptide, or Protein"
"aldehyde oxidoreductases","Enzyme"
"aldehydes","Organic Chemical"
"aldosterone","Hormone"
"aldosterone","Organic Chemical"
"aldosterone","Pharmacologic Substance"
"alendronate","Organic Chemical"
"alendronate","Pharmacologic Substance"
"alfaxalone alfadolone mixture","Organic Chemical"
"alfaxalone alfadolone mixture","Pharmacologic Substance"
"alfentanil","Organic Chemical"
"alfentanil","Pharmacologic Substance"
"algorithms","Intellectual Product"
"alkaline phosphatase","Amino Acid, Peptide, or Protein"
"alkaline phosphatase","Enzyme"
"alkaloids","Organic Chemical"
"alkaloids","Pharmacologic Substance"
"alkalosis","Disease or Syndrome"
"alkalosis, respiratory","Pathologic Function"
"alkanes","Organic Chemical"
"alkanesulfonates","Organic Chemical"
"alkanesulfonic acids","Organic Chemical"
"alkyl and aryl transferases","Amino Acid, Peptide, or Protein"
"alkyl and aryl transferases","Enzyme"
"alkynes","Organic Chemical"
"alleles","Gene or Genome"
"allergens","Immunologic Factor"
"allergy and immunology","Biomedical Occupation or Discipline"
"allied health personnel","Professional or Occupational Group"
"allium","Plant"
"allopurinol","Organic Chemical"
"allopurinol","Pharmacologic Substance"
"alloys","Biomedical or Dental Material"
"alloys","Inorganic Chemical"
"almitrine","Organic Chemical"
"almitrine","Pharmacologic Substance"
"aloe","Plant"
"alopecia areata","Disease or Syndrome"
"alpha 1-antitrypsin","Amino Acid, Peptide, or Protein"
"alpha 1-antitrypsin","Biologically Active Substance"
"alpha 1-antitrypsin","Pharmacologic Substance"
"alpha 1-antitrypsin deficiency","Disease or Syndrome"
"alpha catenin","Amino Acid, Peptide, or Protein"
"alpha catenin","Biologically Active Substance"
"alpha rhythm","Organ or Tissue Function"
"alpha-2-antiplasmin","Amino Acid, Peptide, or Protein"
"alpha-2-antiplasmin","Biologically Active Substance"
"alpha-2-antiplasmin","Pharmacologic Substance"
"alpha-amylases","Amino Acid, Peptide, or Protein"
"alpha-amylases","Enzyme"
"alpha-amylases","Pharmacologic Substance"
"alpha-defensins","Amino Acid, Peptide, or Protein"
"alpha-defensins","Immunologic Factor"
"alpha-defensins","Pharmacologic Substance"
"alpha-globulins","Amino Acid, Peptide, or Protein"
"alpha-globulins","Biologically Active Substance"
"alpha-linolenic acid","Biologically Active Substance"
"alpha-linolenic acid","Organic Chemical"
"alpha-macroglobulins","Amino Acid, Peptide, or Protein"
"alpha-macroglobulins","Biologically Active Substance"
"alpha-tocopherol","Organic Chemical"
"alpha-tocopherol","Pharmacologic Substance"
"alpha-tocopherol","Vitamin"
"alphavirus infections","Disease or Syndrome"
"alprazolam","Organic Chemical"
"alprazolam","Pharmacologic Substance"
"alprenolol","Organic Chemical"
"alprenolol","Pharmacologic Substance"
"alprostadil","Organic Chemical"
"alprostadil","Pharmacologic Substance"
"alternaria","Fungus"
"alternariosis","Disease or Syndrome"
"alternative splicing","Genetic Function"
"altitude","Quantitative Concept"
"altitude sickness","Disease or Syndrome"
"alu elements","Biologically Active Substance"
"alu elements","Nucleic Acid, Nucleoside, or Nucleotide"
"alum compounds","Inorganic Chemical"
"alum compounds","Pharmacologic Substance"
"aluminum","Element, Ion, or Isotope"
"aluminum compounds","Inorganic Chemical"
"aluminum hydroxide","Inorganic Chemical"
"aluminum hydroxide","Pharmacologic Substance"
"aluminum oxide","Biomedical or Dental Material"
"aluminum oxide","Indicator, Reagent, or Diagnostic Aid"
"aluminum oxide","Inorganic Chemical"
"alveolar process","Body Part, Organ, or Organ Component"
"alveolitis, extrinsic allergic","Disease or Syndrome"
"alzheimer disease","Disease or Syndrome"
"amantadine","Organic Chemical"
"amantadine","Pharmacologic Substance"
"ambrosia","Plant"
"ambroxol","Organic Chemical"
"ambroxol","Pharmacologic Substance"
"ambulances","Medical Device"
"ambulatory care","Health Care Activity"
"ambulatory care facilities","Health Care Related Organization"
"ambulatory care facilities","Manufactured Object"
"ambulatory surgical procedures","Therapeutic or Preventive Procedure"
"amenorrhea","Disease or Syndrome"
"american nurses' association","Professional Society"
"amides","Organic Chemical"
"amikacin","Antibiotic"
"amikacin","Organic Chemical"
"amiloride","Organic Chemical"
"amiloride","Pharmacologic Substance"
"amine oxidase (copper-containing)","Amino Acid, Peptide, or Protein"
"amine oxidase (copper-containing)","Enzyme"
"amines","Organic Chemical"
"amino acid oxidoreductases","Amino Acid, Peptide, or Protein"
"amino acid oxidoreductases","Enzyme"
"amino acid sequence","Amino Acid Sequence"
"amino acid substitution","Genetic Function"
"amino acids","Amino Acid, Peptide, or Protein"
"amino acids","Biologically Active Substance"
"amino acids","Pharmacologic Substance"
"amino alcohols","Organic Chemical"
"amino alcohols","Pharmacologic Substance"
"aminoacridines","Indicator, Reagent, or Diagnostic Aid"
"aminoacridines","Organic Chemical"
"aminoacridines","Pharmacologic Substance"
"aminocaproates","Organic Chemical"
"aminopeptidases","Amino Acid, Peptide, or Protein"
"aminopeptidases","Enzyme"
"aminophylline","Organic Chemical"
"aminophylline","Pharmacologic Substance"
"aminopyridines","Organic Chemical"
"aminopyrine","Organic Chemical"
"aminopyrine","Pharmacologic Substance"
"aminoquinolines","Organic Chemical"
"amiodarone","Organic Chemical"
"amiodarone","Pharmacologic Substance"
"amitriptyline","Organic Chemical"
"amitriptyline","Pharmacologic Substance"
"amlodipine","Organic Chemical"
"amlodipine","Pharmacologic Substance"
"ammonia","Inorganic Chemical"
"ammonia","Pharmacologic Substance"
"ammonium chloride","Inorganic Chemical"
"ammonium chloride","Pharmacologic Substance"
"ammonium sulfate","Indicator, Reagent, or Diagnostic Aid"
"ammonium sulfate","Inorganic Chemical"
"amnesia","Mental or Behavioral Dysfunction"
"amoxicillin","Antibiotic"
"amoxicillin","Organic Chemical"
"amphetamine","Biologically Active Substance"
"amphetamine","Organic Chemical"
"amphetamine","Pharmacologic Substance"
"amphetamines","Biologically Active Substance"
"amphetamines","Organic Chemical"
"amphetamines","Pharmacologic Substance"
"amphibian venoms","Biologically Active Substance"
"amphibian venoms","Hazardous or Poisonous Substance"
"amphibians","Amphibian"
"amphiregulin","Amino Acid, Peptide, or Protein"
"amphiregulin","Biologically Active Substance"
"amphotericin b","Antibiotic"
"amphotericin b","Organic Chemical"
"ampicillin","Antibiotic"
"ampicillin","Organic Chemical"
"amplifiers, electronic","Manufactured Object"
"amprolium","Organic Chemical"
"amprolium","Pharmacologic Substance"
"amputation","Therapeutic or Preventive Procedure"
"amylases","Amino Acid, Peptide, or Protein"
"amylases","Enzyme"
"amylases","Pharmacologic Substance"
"amyloid","Amino Acid, Peptide, or Protein"
"amyloid","Biologically Active Substance"
"amyloidosis","Disease or Syndrome"
"amyotrophic lateral sclerosis","Disease or Syndrome"
"anabolic agents","Pharmacologic Substance"
"anaerobic threshold","Quantitative Concept"
"anaerobiosis","Organism Function"
"anal canal","Body Space or Junction"
"analgesia","Therapeutic or Preventive Procedure"
"analgesia, epidural","Therapeutic or Preventive Procedure"
"analgesia, obstetrical","Therapeutic or Preventive Procedure"
"analgesia, patient-controlled","Therapeutic or Preventive Procedure"
"analgesics","Hazardous or Poisonous Substance"
"analgesics","Organic Chemical"
"analgesics","Pharmacologic Substance"
"analgesics, non-narcotic","Pharmacologic Substance"
"analgesics, opioid","Organic Chemical"
"analgesics, opioid","Pharmacologic Substance"
"analysis of variance","Quantitative Concept"
"anaphylatoxins","Amino Acid, Peptide, or Protein"
"anaphylatoxins","Biologically Active Substance"
"anaphylatoxins","Hazardous or Poisonous Substance"
"anaphylaxis","Pathologic Function"
"anastomosis, roux-en-y","Therapeutic or Preventive Procedure"
"anastomosis, surgical","Therapeutic or Preventive Procedure"
"anatomy","Biomedical Occupation or Discipline"
"anatomy, cross-sectional","Intellectual Product"
"ancylostomiasis","Disease or Syndrome"
"androgens","Hormone"
"androgens","Pharmacologic Substance"
"androstadienes","Organic Chemical"
"androstanes","Biologically Active Substance"
"androstanes","Organic Chemical"
"androstenedione","Hormone"
"androstenedione","Organic Chemical"
"androstenedione","Pharmacologic Substance"
"anecdotes as topic","Intellectual Product"
"anemia","Disease or Syndrome"
"anemia, aplastic","Disease or Syndrome"
"anemia, hemolytic","Disease or Syndrome"
"anemia, hemolytic, autoimmune","Disease or Syndrome"
"anemia, hypochromic","Disease or Syndrome"
"anemia, iron-deficiency","Disease or Syndrome"
"anemia, macrocytic","Disease or Syndrome"
"anemia, pernicious","Disease or Syndrome"
"anemia, sickle cell","Disease or Syndrome"
"anesthesia","Therapeutic or Preventive Procedure"
"anesthesia recovery period","Temporal Concept"
"anesthesia, conduction","Therapeutic or Preventive Procedure"
"anesthesia, dental","Therapeutic or Preventive Procedure"
"anesthesia, endotracheal","Therapeutic or Preventive Procedure"
"anesthesia, epidural","Therapeutic or Preventive Procedure"
"anesthesia, general","Therapeutic or Preventive Procedure"
"anesthesia, inhalation","Therapeutic or Preventive Procedure"
"anesthesia, intravenous","Therapeutic or Preventive Procedure"
"anesthesia, local","Therapeutic or Preventive Procedure"
"anesthesia, obstetrical","Therapeutic or Preventive Procedure"
"anesthesia, spinal","Therapeutic or Preventive Procedure"
"anesthesiology","Biomedical Occupation or Discipline"
"anesthetics","Biomedical Occupation or Discipline"
"anesthetics, dissociative","Pharmacologic Substance"
"anesthetics, general","Pharmacologic Substance"
"anesthetics, inhalation","Pharmacologic Substance"
"anesthetics, intravenous","Pharmacologic Substance"
"anesthetics, local","Organic Chemical"
"anesthetics, local","Pharmacologic Substance"
"aneurysm","Disease or Syndrome"
"aneurysm, dissecting","Disease or Syndrome"
"aneurysm, false","Pathologic Function"
"anger","Mental Process"
"angina pectoris","Sign or Symptom"
"angina pectoris, variant","Disease or Syndrome"
"angiocardiography","Diagnostic Procedure"
"angioedema","Pathologic Function"
"angiogenesis inducing agents","Pharmacologic Substance"
"angiogenesis inhibitors","Biologically Active Substance"
"angiogenesis inhibitors","Pharmacologic Substance"
"angiogenic proteins","Amino Acid, Peptide, or Protein"
"angiogenic proteins","Biologically Active Substance"
"angiography","Diagnostic Procedure"
"angiography, digital subtraction","Diagnostic Procedure"
"angiolymphoid hyperplasia with eosinophilia","Neoplastic Process"
"angioplasty, balloon","Therapeutic or Preventive Procedure"
"angioplasty, balloon, coronary","Therapeutic or Preventive Procedure"
"angiopoietin-1","Amino Acid, Peptide, or Protein"
"angiopoietin-1","Biologically Active Substance"
"angiopoietin-2","Amino Acid, Peptide, or Protein"
"angiopoietin-2","Pharmacologic Substance"
"angiosperms","Plant"
"angiotensin ii","Amino Acid, Peptide, or Protein"
"angiotensin ii","Biologically Active Substance"
"angiotensin ii","Pharmacologic Substance"
"angiotensin receptor antagonists","Pharmacologic Substance"
"angiotensin-converting enzyme inhibitors","Pharmacologic Substance"
"angiotensinogen","Amino Acid, Peptide, or Protein"
"angiotensinogen","Biologically Active Substance"
"anhydrides","Organic Chemical"
"anilides","Organic Chemical"
"aniline compounds","Organic Chemical"
"animal feed","Food"
"animal husbandry","Occupation or Discipline"
"animal population groups","Animal"
"animal technicians","Professional or Occupational Group"
"animal welfare","Activity"
