"mesh","umls"
"acetyl-coa c-acyltransferase","Amino Acid, Peptide, or Protein"
"acetyl-coa c-acyltransferase","Enzyme"
"acetylation","Molecular Function"
"acetylcholine","Biologically Active Substance"
"acetylcholine","Organic Chemical"
"acetylcholine","Pharmacologic Substance"
"acetylcholinesterase","Amino Acid, Peptide, or Protein"
"acetylcholinesterase","Enzyme"
"acetylcysteine","Amino Acid, Peptide, or Protein"
"acetylcysteine","Pharmacologic Substance"
"acetylglucosaminidase","Amino Acid, Peptide, or Protein"
"acetylglucosaminidase","Enzyme"
"acetylmuramyl-alanyl-isoglutamine","Amino Acid, Peptide, or Protein"
"acetylmuramyl-alanyl-isoglutamine","Immunologic Factor"
"acetylmuramyl-alanyl-isoglutamine","Pharmacologic Substance"
"achievement","Behavior"
"acid phosphatase","Amino Acid, Peptide, or Protein"
"acid phosphatase","Enzyme"
"acid rain","Environmental Effect of Humans"
"acid rain","Hazardous or Poisonous Substance"
"acid-base equilibrium","Physiologic Function"
"acid-base imbalance","Finding"
"acidosis","Pathologic Function"
"acidosis, lactic","Disease or Syndrome"
"acidosis, respiratory","Disease or Syndrome"
"acids","Chemical"
"acinetobacter","Bacterium"
"acne vulgaris","Disease or Syndrome"
"acoustic impedance tests","Diagnostic Procedure"
"acoustic stimulation","Therapeutic or Preventive Procedure"
"acoustics","Natural Phenomenon or Process"
"acquired immunodeficiency syndrome","Disease or Syndrome"
"acremonium","Fungus"
"acromegaly","Disease or Syndrome"
"actigraphy","Diagnostic Procedure"
"acting out","Individual Behavior"
"actinobacteria","Bacterium"
"actinomycetaceae","Bacterium"
"action potentials","Cell Function"
"active transport, cell nucleus","Cell Function"
"activities of daily living","Daily or Recreational Activity"
"acupressure","Therapeutic or Preventive Procedure"
"acupuncture","Biomedical Occupation or Discipline"
"acupuncture points","Body Location or Region"
"acupuncture therapy","Therapeutic or Preventive Procedure"
"acute chest syndrome","Disease or Syndrome"
"acute disease","Disease or Syndrome"
"acute kidney injury","Disease or Syndrome"
"acute lung injury","Injury or Poisoning"
"acyclovir","Nucleic Acid, Nucleoside, or Nucleotide"
"acyclovir","Pharmacologic Substance"
"acyl coenzyme a","Biologically Active Substance"
"acyl coenzyme a","Nucleic Acid, Nucleoside, or Nucleotide"
"acyl-coa dehydrogenase","Amino Acid, Peptide, or Protein"
"acyl-coa dehydrogenase","Enzyme"
"adalimumab","Amino Acid, Peptide, or Protein"
"adalimumab","Immunologic Factor"
"adalimumab","Pharmacologic Substance"
"adam proteins","Amino Acid, Peptide, or Protein"
"adam proteins","Enzyme"
"adaptation, physiological","Organism Function"
"adaptation, psychological","Individual Behavior"
"adaptive immunity","Physiologic Function"
"adaptor proteins, signal transducing","Amino Acid, Peptide, or Protein"
"adaptor proteins, signal transducing","Biologically Active Substance"
"addison disease","Disease or Syndrome"
"adenine","Biologically Active Substance"
"adenine","Nucleic Acid, Nucleoside, or Nucleotide"
"adenine nucleotides","Biologically Active Substance"
"adenine nucleotides","Nucleic Acid, Nucleoside, or Nucleotide"
"adenine nucleotides","Pharmacologic Substance"
"adenocarcinoma, mucinous","Neoplastic Process"
"adenoidectomy","Therapeutic or Preventive Procedure"
"adenoids","Body Part, Organ, or Organ Component"
"adenoma","Neoplastic Process"
"adenosine","Biologically Active Substance"
"adenosine","Nucleic Acid, Nucleoside, or Nucleotide"
"adenosine","Pharmacologic Substance"
"adenosine deaminase","Amino Acid, Peptide, or Protein"
"adenosine deaminase","Enzyme"
"adenosine diphosphate","Biologically Active Substance"
"adenosine diphosphate","Nucleic Acid, Nucleoside, or Nucleotide"
"adenosine monophosphate","Biologically Active Substance"
"adenosine monophosphate","Nucleic Acid, Nucleoside, or Nucleotide"
"adenosine monophosphate","Pharmacologic Substance"
"adenosine triphosphatases","Amino Acid, Peptide, or Protein"
"adenosine triphosphatases","Enzyme"
"adenosine triphosphate","Biologically Active Substance"
"adenosine triphosphate","Nucleic Acid, Nucleoside, or Nucleotide"
"adenosine triphosphate","Pharmacologic Substance"
"adenoviridae","Virus"
"adenoviridae infections","Disease or Syndrome"
"adenovirus infections, human","Disease or Syndrome"
"adenoviruses, human","Virus"
"adenylyl cyclases","Amino Acid, Peptide, or Protein"
"adenylyl cyclases","Enzyme"
"adhesiveness","Natural Phenomenon or Process"
"adhesives","Manufactured Object"
"adipokines","Amino Acid, Peptide, or Protein"
"adipokines","Biologically Active Substance"
"adiponectin","Amino Acid, Peptide, or Protein"
"adiponectin","Biologically Active Substance"
"adipose tissue","Tissue"
"adiposis dolorosa","Disease or Syndrome"
"adiposity","Disease or Syndrome"
"adjustment disorders","Mental or Behavioral Dysfunction"
"adjuvants, immunologic","Immunologic Factor"
"adjuvants, immunologic","Pharmacologic Substance"
"administration, buccal","Therapeutic or Preventive Procedure"
"administration, cutaneous","Therapeutic or Preventive Procedure"
"administration, inhalation","Therapeutic or Preventive Procedure"
"administration, intranasal","Therapeutic or Preventive Procedure"
"administration, intravenous","Spatial Concept"
"administration, oral","Therapeutic or Preventive Procedure"
"administration, rectal","Functional Concept"
"administration, sublingual","Functional Concept"
"administration, topical","Therapeutic or Preventive Procedure"
"administrative personnel","Professional or Occupational Group"
"adolescent","Age Group"
"adolescent behavior","Individual Behavior"
"adolescent development","Finding"
"adolescent health services","Health Care Activity"
"adolescent medicine","Biomedical Occupation or Discipline"
"adolescent nutritional physiological phenomena","Organism Function"
"adolescent, hospitalized","Patient or Disabled Group"
"adoption","Social Behavior"
"adoptive transfer","Therapeutic or Preventive Procedure"
"adrenal cortex","Body Part, Organ, or Organ Component"
"adrenal cortex function tests","Diagnostic Procedure"
"adrenal cortex hormones","Hormone"
"adrenal cortex hormones","Organic Chemical"
"adrenal cortex hormones","Pharmacologic Substance"
"adrenal gland diseases","Disease or Syndrome"
"adrenal gland neoplasms","Neoplastic Process"
"adrenal glands","Body Part, Organ, or Organ Component"
"adrenal hyperplasia, congenital","Disease or Syndrome"
"adrenal insufficiency","Disease or Syndrome"
"adrenal medulla","Body Part, Organ, or Organ Component"
"adrenergic agents","Pharmacologic Substance"
"adrenergic agonists","Pharmacologic Substance"
"adrenergic alpha-2 receptor agonists","Pharmacologic Substance"
"adrenergic alpha-agonists","Pharmacologic Substance"
"adrenergic alpha-antagonists","Pharmacologic Substance"
"adrenergic antagonists","Pharmacologic Substance"
"adrenergic beta-2 receptor agonists","Pharmacologic Substance"
"adrenergic beta-2 receptor antagonists","Pharmacologic Substance"
"adrenergic beta-agonists","Pharmacologic Substance"
"adrenergic beta-antagonists","Pharmacologic Substance"
"adrenocortical hyperfunction","Disease or Syndrome"
"adrenocorticotropic hormone","Amino Acid, Peptide, or Protein"
"adrenocorticotropic hormone","Hormone"
"adrenocorticotropic hormone","Pharmacologic Substance"
"adrenomedullin","Amino Acid, Peptide, or Protein"
"adrenomedullin","Pharmacologic Substance"
"adsorption","Laboratory Procedure"
"advance care planning","Health Care Activity"
"advance directive adherence","Health Care Activity"
"advanced glycosylation end product-specific receptor","Amino Acid, Peptide, or Protein"
"advanced glycosylation end product-specific receptor","Receptor"
"adverse drug reaction reporting systems","Intellectual Product"
"advertising as topic","Occupational Activity"
"advisory committees","Governmental or Regulatory Activity"
"aerosol propellants","Chemical Viewed Functionally"
"aerosols","Manufactured Object"
"aerospace medicine","Biomedical Occupation or Discipline"
"affect","Mental Process"
"affective symptoms","Sign or Symptom"
"afferent pathways","Body Part, Organ, or Organ Component"
"africa","Geographic Area"
"africa, northern","Geographic Area"
"africa, western","Geographic Area"
"african americans","Population Group"
"african continental ancestry group","Population Group"
"after-hours care","Health Care Activity"
"aftercare","Health Care Activity"
"agammaglobulinemia","Disease or Syndrome"
"age determination by skeleton","Diagnostic Procedure"
"age distribution","Quantitative Concept"
"age factors","Temporal Concept"
"age of onset","Quantitative Concept"
"agglutination tests","Laboratory Procedure"
"aggression","Individual Behavior"
"aging","Organism Function"
"agranulocytosis","Disease or Syndrome"
"agricultural workers' diseases","Disease or Syndrome"
"agriculture","Occupation or Discipline"
"aid to families with dependent children","Governmental or Regulatory Activity"
"air","Substance"
"air conditioning","Human-caused Phenomenon or Process"
"air filters","Manufactured Object"
"air ionization","Natural Phenomenon or Process"
"air microbiology","Phenomenon or Process"
"air movements","Natural Phenomenon or Process"
"air pollutants","Hazardous or Poisonous Substance"
"air pollutants, occupational","Hazardous or Poisonous Substance"
"air pollution","Environmental Effect of Humans"
"air pollution, indoor","Environmental Effect of Humans"
"air pollution, radioactive","Environmental Effect of Humans"
"air pressure","Natural Phenomenon or Process"
"aircraft","Manufactured Object"
"airway management","Therapeutic or Preventive Procedure"
"airway obstruction","Disease or Syndrome"
"airway remodeling","Finding"
"airway resistance","Diagnostic Procedure"
"akathisia, drug-induced","Disease or Syndrome"
"alabama","Geographic Area"
"alanine","Amino Acid, Peptide, or Protein"
"alanine","Biologically Active Substance"
"alanine transaminase","Amino Acid, Peptide, or Protein"
"alanine transaminase","Enzyme"
"alaska","Geographic Area"
"albania","Geographic Area"
"albendazole","Organic Chemical"
"albendazole","Pharmacologic Substance"
"alberta","Geographic Area"
"albinism, ocular","Congenital Abnormality"
"albumins","Amino Acid, Peptide, or Protein"
"albumins","Biologically Active Substance"
"albuminuria","Finding"
"albuterol","Organic Chemical"
"albuterol","Pharmacologic Substance"
"albuterol, ipratropium drug combination","Pharmacologic Substance"
"alcohol dehydrogenase","Amino Acid, Peptide, or Protein"
"alcohol dehydrogenase","Enzyme"
"alcohol drinking","Individual Behavior"
"alcoholic intoxication","Mental or Behavioral Dysfunction"
"alcoholism","Mental or Behavioral Dysfunction"
"alcohols","Organic Chemical"
"alcohols","Pharmacologic Substance"
"aldehyde oxidoreductases","Amino Acid, Peptide, or Protein"
"aldehyde oxidoreductases","Enzyme"
"aldehydes","Organic Chemical"
"aldosterone","Hormone"
"aldosterone","Organic Chemical"
"aldosterone","Pharmacologic Substance"
"alendronate","Organic Chemical"
"alendronate","Pharmacologic Substance"
"algeria","Geographic Area"
"algorithms","Intellectual Product"
"alkaline phosphatase","Amino Acid, Peptide, or Protein"
"alkaline phosphatase","Enzyme"
"alkalosis","Disease or Syndrome"
"alkalosis, respiratory","Pathologic Function"
"alkanes","Organic Chemical"
"alkanesulfonates","Organic Chemical"
"alkanesulfonic acids","Organic Chemical"
"alkenes","Organic Chemical"
"allantois","Embryonic Structure"
"alleles","Gene or Genome"
"allergens","Immunologic Factor"
"allergy and immunology","Biomedical Occupation or Discipline"
"allethrin","Hazardous or Poisonous Substance"
"allethrin","Organic Chemical"
"allied health occupations","Biomedical Occupation or Discipline"
"allied health personnel","Professional or Occupational Group"
"allopurinol","Organic Chemical"
"allopurinol","Pharmacologic Substance"
"allostasis","Physiologic Function"
"alopecia","Disease or Syndrome"
"alopecia areata","Disease or Syndrome"
"alpha 1-antichymotrypsin","Amino Acid, Peptide, or Protein"
"alpha 1-antichymotrypsin","Biologically Active Substance"
"alpha 1-antitrypsin","Amino Acid, Peptide, or Protein"
"alpha 1-antitrypsin","Biologically Active Substance"
"alpha 1-antitrypsin","Pharmacologic Substance"
"alpha 1-antitrypsin deficiency","Disease or Syndrome"
"alpha rhythm","Organ or Tissue Function"
"alpha-amylases","Amino Acid, Peptide, or Protein"
"alpha-amylases","Enzyme"
"alpha-amylases","Pharmacologic Substance"
"alpha-globulins","Amino Acid, Peptide, or Protein"
"alpha-globulins","Biologically Active Substance"
"alpha-linolenic acid","Biologically Active Substance"
"alpha-linolenic acid","Organic Chemical"
"alpha-macroglobulins","Amino Acid, Peptide, or Protein"
"alpha-macroglobulins","Biologically Active Substance"
"alpha-thalassemia","Disease or Syndrome"
"alpha-tocopherol","Organic Chemical"
"alpha-tocopherol","Pharmacologic Substance"
"alpha-tocopherol","Vitamin"
"alpha7 nicotinic acetylcholine receptor","Amino Acid, Peptide, or Protein"
"alpha7 nicotinic acetylcholine receptor","Receptor"
"alprazolam","Organic Chemical"
"alprazolam","Pharmacologic Substance"
"alprostadil","Organic Chemical"
"alprostadil","Pharmacologic Substance"
"alternaria","Fungus"
"alternative splicing","Genetic Function"
"altitude","Quantitative Concept"
"altitude sickness","Disease or Syndrome"
"altruism","Social Behavior"
"alu elements","Biologically Active Substance"
"alu elements","Nucleic Acid, Nucleoside, or Nucleotide"
"aluminum","Element, Ion, or Isotope"
"aluminum hydroxide","Inorganic Chemical"
"aluminum hydroxide","Pharmacologic Substance"
"alveolitis, extrinsic allergic","Disease or Syndrome"
"amblyopia","Disease or Syndrome"
"ambrosia","Plant"
"ambroxol","Organic Chemical"
"ambroxol","Pharmacologic Substance"
"ambulances","Medical Device"
"ambulatory care","Health Care Activity"
"ambulatory care facilities","Health Care Related Organization"
"ambulatory care facilities","Manufactured Object"
"ambulatory care information systems","Intellectual Product"
"ambulatory surgical procedures","Therapeutic or Preventive Procedure"
"amelogenesis","Organ or Tissue Function"
"amelogenin","Amino Acid, Peptide, or Protein"
"amelogenin","Biologically Active Substance"
"american heart association","Health Care Related Organization"
"american native continental ancestry group","Population Group"
"amides","Organic Chemical"
"amidines","Organic Chemical"
"amiloride","Organic Chemical"
"amiloride","Pharmacologic Substance"
"amine oxidase (copper-containing)","Amino Acid, Peptide, or Protein"
"amine oxidase (copper-containing)","Enzyme"
"amines","Organic Chemical"
"amino acid motifs","Spatial Concept"
"amino acid sequence","Amino Acid Sequence"
"amino acid substitution","Genetic Function"
"amino acids","Amino Acid, Peptide, or Protein"
"amino acids","Biologically Active Substance"
"amino acids","Pharmacologic Substance"
"amino acids, sulfur","Amino Acid, Peptide, or Protein"
"amino acids, sulfur","Biologically Active Substance"
"amino alcohols","Organic Chemical"
"amino alcohols","Pharmacologic Substance"
"aminobutyrates","Organic Chemical"
"aminobutyrates","Pharmacologic Substance"
"aminoisobutyric acids","Amino Acid, Peptide, or Protein"
"aminolevulinic acid","Amino Acid, Peptide, or Protein"
"aminolevulinic acid","Biologically Active Substance"
"aminolevulinic acid","Pharmacologic Substance"
"aminopeptidases","Amino Acid, Peptide, or Protein"
"aminopeptidases","Enzyme"
"aminophylline","Organic Chemical"
"aminophylline","Pharmacologic Substance"
"aminopyridines","Organic Chemical"
"aminopyrine","Organic Chemical"
"aminopyrine","Pharmacologic Substance"
"aminosalicylic acids","Organic Chemical"
"aminosalicylic acids","Pharmacologic Substance"
"ammonia","Inorganic Chemical"
"ammonia","Pharmacologic Substance"
"ammonium chloride","Inorganic Chemical"
"ammonium chloride","Pharmacologic Substance"
"ammonium compounds","Chemical Viewed Structurally"
"amniotic fluid","Body Substance"
"amoeba","Eukaryote"
"amoxicillin","Antibiotic"
"amoxicillin","Organic Chemical"
"amoxicillin-potassium clavulanate combination","Pharmacologic Substance"
"amphetamine","Biologically Active Substance"
"amphetamine","Organic Chemical"
"amphetamine","Pharmacologic Substance"
"amphetamines","Biologically Active Substance"
"amphetamines","Organic Chemical"
"amphetamines","Pharmacologic Substance"
"amphiregulin","Amino Acid, Peptide, or Protein"
"amphiregulin","Biologically Active Substance"
"amphotericin b","Antibiotic"
"amphotericin b","Organic Chemical"
"ampicillin","Antibiotic"
"ampicillin","Organic Chemical"
"amylases","Amino Acid, Peptide, or Protein"
"amylases","Enzyme"
"amylases","Pharmacologic Substance"
"anabolic agents","Pharmacologic Substance"
"anacardium","Plant"
"anaerobic threshold","Quantitative Concept"
"analgesics","Hazardous or Poisonous Substance"
"analgesics","Organic Chemical"
"analgesics","Pharmacologic Substance"
"analgesics, non-narcotic","Pharmacologic Substance"
"analgesics, opioid","Organic Chemical"
"analgesics, opioid","Pharmacologic Substance"
"analysis of variance","Quantitative Concept"
"anaphylaxis","Pathologic Function"
"anatomic landmarks","Body Location or Region"
"anatomy","Biomedical Occupation or Discipline"
"androgens","Hormone"
"androgens","Pharmacologic Substance"
"androstadienes","Organic Chemical"
"androstane-3,17-diol","Hormone"
"androstane-3,17-diol","Organic Chemical"
"androstanes","Biologically Active Substance"
"androstanes","Organic Chemical"
"androstenedione","Hormone"
"androstenedione","Organic Chemical"
"androstenedione","Pharmacologic Substance"
"androsterone","Hormone"
"androsterone","Organic Chemical"
"anemia","Disease or Syndrome"
"anemia, aplastic","Disease or Syndrome"
"anemia, hemolytic","Disease or Syndrome"
"anemia, hypochromic","Disease or Syndrome"
"anemia, iron-deficiency","Disease or Syndrome"
"anemia, sickle cell","Disease or Syndrome"
"anesthesia","Therapeutic or Preventive Procedure"
"anesthesia, conduction","Therapeutic or Preventive Procedure"
"anesthesia, dental","Therapeutic or Preventive Procedure"
"anesthesia, endotracheal","Therapeutic or Preventive Procedure"
"anesthesia, epidural","Therapeutic or Preventive Procedure"
"anesthesia, general","Therapeutic or Preventive Procedure"
"anesthesia, inhalation","Therapeutic or Preventive Procedure"
"anesthesia, intravenous","Therapeutic or Preventive Procedure"
"anesthesia, local","Therapeutic or Preventive Procedure"
"anesthesia, obstetrical","Therapeutic or Preventive Procedure"
"anesthesia, spinal","Therapeutic or Preventive Procedure"
"anesthesiology","Biomedical Occupation or Discipline"
"anesthetics","Biomedical Occupation or Discipline"
"anesthetics, dissociative","Pharmacologic Substance"
"anesthetics, general","Pharmacologic Substance"
"anesthetics, inhalation","Pharmacologic Substance"
"anesthetics, intravenous","Pharmacologic Substance"
"anesthetics, local","Organic Chemical"
"anesthetics, local","Pharmacologic Substance"
"aneurysm","Disease or Syndrome"
"aneurysm, false","Pathologic Function"
"aneurysm, infected","Disease or Syndrome"
"anger","Mental Process"
"angina pectoris","Sign or Symptom"
"angioedema","Pathologic Function"
"angiogenesis inducing agents","Pharmacologic Substance"
"angiography","Diagnostic Procedure"
"angiosperms","Plant"
"angiotensin i","Amino Acid, Peptide, or Protein"
"angiotensin i","Biologically Active Substance"
"angiotensin ii type 1 receptor blockers","Pharmacologic Substance"
"angiotensins","Amino Acid, Peptide, or Protein"
"angiotensins","Biologically Active Substance"
"angiotensins","Pharmacologic Substance"
"aniline compounds","Organic Chemical"
"animal feed","Food"
"animal husbandry","Occupation or Discipline"
"animal population groups","Animal"
"animals","Animal"
"animals, domestic","Animal"
"animals, laboratory","Animal"
"animals, newborn","Animal"
"animals, suckling","Mammal"
"anions","Element, Ion, or Isotope"
"anisocoria","Finding"
"anisotropy","Natural Phenomenon or Process"
"ankle injuries","Injury or Poisoning"
"annexin a1","Amino Acid, Peptide, or Protein"
"annexin a1","Biologically Active Substance"
"annexin a1","Pharmacologic Substance"
"annexin a2","Amino Acid, Peptide, or Protein"
"annexin a2","Biologically Active Substance"
"annexin a5","Amino Acid, Peptide, or Protein"
"annexin a5","Biologically Active Substance"
"anniversaries and special events","Event"
"annual reports as topic","Intellectual Product"
"anorexia","Disease or Syndrome"
"anorexia nervosa","Disease or Syndrome"
"antacids","Pharmacologic Substance"
"anterior horn cells","Cell"
"anthelmintics","Pharmacologic Substance"
"anthocyanins","Organic Chemical"
"anthrax","Disease or Syndrome"
"anthropology, cultural","Occupation or Discipline"
"anthropology, medical","Occupation or Discipline"
"anthropometry","Research Activity"
"anthroposophy","Occupation or Discipline"
"anti-allergic agents","Pharmacologic Substance"
"anti-anxiety agents","Pharmacologic Substance"
"anti-arrhythmia agents","Pharmacologic Substance"
"anti-asthmatic agents","Pharmacologic Substance"
"anti-bacterial agents","Antibiotic"
"anti-glomerular basement membrane disease","Disease or Syndrome"
"anti-hiv agents","Pharmacologic Substance"
"anti-infective agents","Pharmacologic Substance"
"anti-infective agents, local","Pharmacologic Substance"
"anti-inflammatory agents","Pharmacologic Substance"
"anti-inflammatory agents, non-steroidal","Pharmacologic Substance"
"anti-obesity agents","Pharmacologic Substance"
"anti-retroviral agents","Pharmacologic Substance"
"anti-ulcer agents","Pharmacologic Substance"
"antibiotic prophylaxis","Therapeutic or Preventive Procedure"
"antibiotics, antitubercular","Antibiotic"
"antibodies","Amino Acid, Peptide, or Protein"
"antibodies","Immunologic Factor"
"antibodies, anti-idiotypic","Amino Acid, Peptide, or Protein"
"antibodies, anti-idiotypic","Immunologic Factor"
"antibodies, antineutrophil cytoplasmic","Immunologic Factor"
"antibodies, bacterial","Amino Acid, Peptide, or Protein"
"antibodies, bacterial","Immunologic Factor"
"antibodies, blocking","Amino Acid, Peptide, or Protein"
"antibodies, blocking","Immunologic Factor"
"antibodies, blocking","Indicator, Reagent, or Diagnostic Aid"
"antibodies, fungal","Amino Acid, Peptide, or Protein"
"antibodies, fungal","Immunologic Factor"
"antibodies, helminth","Immunologic Factor"
"antibodies, monoclonal","Amino Acid, Peptide, or Protein"
"antibodies, monoclonal","Immunologic Factor"
"antibodies, monoclonal, humanized","Amino Acid, Peptide, or Protein"
"antibodies, monoclonal, humanized","Immunologic Factor"
"antibodies, neutralizing","Amino Acid, Peptide, or Protein"
"antibodies, neutralizing","Immunologic Factor"
"antibodies, protozoan","Immunologic Factor"
"antibodies, viral","Amino Acid, Peptide, or Protein"
"antibodies, viral","Immunologic Factor"
"antibody affinity","Molecular Function"
"antibody formation","Biologic Function"
"antibody specificity","Molecular Function"
"antibody-dependent cell cytotoxicity","Cell Function"
"anticoagulants","Pharmacologic Substance"
"anticonvulsants","Pharmacologic Substance"
"antidepressive agents","Pharmacologic Substance"
"antidepressive agents, second-generation","Pharmacologic Substance"
"antidepressive agents, tricyclic","Pharmacologic Substance"
"antiemetics","Pharmacologic Substance"
"antifibrinolytic agents","Pharmacologic Substance"
"antifungal agents","Pharmacologic Substance"
"antigen peptide transporter-1","Amino Acid, Peptide, or Protein"
"antigen presentation","Cell Function"
"antigen-antibody complex","Amino Acid, Peptide, or Protein"
"antigen-antibody complex","Immunologic Factor"
"antigen-antibody reactions","Molecular Function"
"antigen-presenting cells","Cell"
"antigenic variation","Molecular Function"
"antigens","Immunologic Factor"
"antigens, bacterial","Immunologic Factor"
"antigens, cd","Immunologic Factor"
"antigens, cd11b","Amino Acid, Peptide, or Protein"
"antigens, cd11b","Immunologic Factor"
"antigens, cd11b","Receptor"
"antigens, cd14","Amino Acid, Peptide, or Protein"
"antigens, cd14","Immunologic Factor"
"antigens, cd14","Receptor"
"antigens, cd147","Amino Acid, Peptide, or Protein"
"antigens, cd147","Immunologic Factor"
"antigens, cd18","Amino Acid, Peptide, or Protein"
"antigens, cd18","Immunologic Factor"
"antigens, cd18","Receptor"
"antigens, cd19","Amino Acid, Peptide, or Protein"
"antigens, cd19","Immunologic Factor"
"antigens, cd20","Amino Acid, Peptide, or Protein"
"antigens, cd20","Immunologic Factor"
"antigens, cd24","Amino Acid, Peptide, or Protein"
"antigens, cd24","Immunologic Factor"
"antigens, cd27","Amino Acid, Peptide, or Protein"
"antigens, cd27","Immunologic Factor"
"antigens, cd27","Receptor"
"antigens, cd28","Amino Acid, Peptide, or Protein"
"antigens, cd28","Immunologic Factor"
"antigens, cd28","Receptor"
"antigens, cd29","Amino Acid, Peptide, or Protein"
"antigens, cd29","Immunologic Factor"
"antigens, cd3","Amino Acid, Peptide, or Protein"
"antigens, cd3","Immunologic Factor"
"antigens, cd30","Amino Acid, Peptide, or Protein"
"antigens, cd30","Immunologic Factor"
"antigens, cd34","Amino Acid, Peptide, or Protein"
"antigens, cd34","Immunologic Factor"
"antigens, cd4","Amino Acid, Peptide, or Protein"
"antigens, cd4","Immunologic Factor"
"antigens, cd4","Receptor"
"antigens, cd40","Amino Acid, Peptide, or Protein"
"antigens, cd40","Immunologic Factor"
"antigens, cd40","Receptor"
"antigens, cd44","Amino Acid, Peptide, or Protein"
"antigens, cd44","Immunologic Factor"
"antigens, cd44","Receptor"
"antigens, cd45","Amino Acid, Peptide, or Protein"
"antigens, cd45","Enzyme"
"antigens, cd45","Immunologic Factor"
"antigens, cd46","Amino Acid, Peptide, or Protein"
"antigens, cd46","Immunologic Factor"
"antigens, cd57","Amino Acid, Peptide, or Protein"
"antigens, cd57","Immunologic Factor"
"antigens, cd63","Amino Acid, Peptide, or Protein"
"antigens, cd63","Immunologic Factor"
"antigens, cd8","Immunologic Factor"
"antigens, cd80","Amino Acid, Peptide, or Protein"
"antigens, cd80","Immunologic Factor"
"antigens, cd86","Amino Acid, Peptide, or Protein"
"antigens, cd86","Immunologic Factor"
"antigens, cd9","Amino Acid, Peptide, or Protein"
"antigens, cd9","Immunologic Factor"
"antigens, cd95","Amino Acid, Peptide, or Protein"
"antigens, cd95","Immunologic Factor"
"antigens, cd95","Receptor"
"antigens, dermatophagoides","Amino Acid, Peptide, or Protein"
"antigens, dermatophagoides","Immunologic Factor"
"antigens, differentiation","Immunologic Factor"
"antigens, differentiation, b-lymphocyte","Immunologic Factor"
"antigens, differentiation, t-lymphocyte","Amino Acid, Peptide, or Protein"
